das Geschäft,business,,lang/de_lessons/audio/das_geschäft.mp3
die Firma,company,,lang/de_lessons/audio/die_firma.mp3
die Baustelle,construction site,,lang/de_lessons/audio/die_baustelle.mp3
die Fabrik,factory,,lang/de_lessons/audio/die_fabrik.mp3
die Regierung,government,,lang/de_lessons/audio/die_regierung.mp3
das Krankenhaus,hospital,,lang/de_lessons/audio/das_krankenhaus.mp3
das Hotel,hotel,,lang/de_lessons/audio/das_hotel.mp3
das Büro,office,,lang/de_lessons/audio/das_büro.mp3
das Restaurant,restaurant,,lang/de_lessons/audio/das_restaurant.mp3
die Schule,school,,lang/de_lessons/audio/die_schule.mp3
der Laden,shop,,lang/de_lessons/audio/der_laden.mp3
