Sind Sie verheiratet?,Are you married?,,lang/de_lessons/audio/sind_sie_verheiratet.mp3
Sind Sie ledig?,Are you single?,,lang/de_lessons/audio/sind_sie_ledig.mp3
Ich bin verheiratet,I'm married,,lang/de_lessons/audio/ich_bin_verheiratet.mp3
Ich habe einen Partner,I have a partner,,lang/de_lessons/audio/ich_habe_einen_partner.mp3
Ich habe eine Partnerin,I have a partner,,lang/de_lessons/audio/ich_habe_eine_partnerin.mp3
Ich bin ledig,I'm single,,lang/de_lessons/audio/ich_bin_ledig.mp3
Ich bin geschieden,I'm divorced,,lang/de_lessons/audio/ich_bin_geschieden.mp3
Ich bin verwitwet,I'm widowed,,lang/de_lessons/audio/ich_bin_verwitwet.mp3
Haben Sie Kinder?,Do you have any children?,,lang/de_lessons/audio/haben_sie_kinder.mp3
Ich habe zwei Kinder,I have two children,,lang/de_lessons/audio/ich_habe_zwei_kinder.mp3
Ich habe keine Kinder,I have no children,,lang/de_lessons/audio/ich_habe_keine_kinder.mp3
Ich bin kinderlos,I am childless,,lang/de_lessons/audio/ich_bin_kinderlos.mp3
